Country Name;Country Code;Indicator Name;Indicator Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Bahrain;BHR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;2.9585;2.9773;3.5672;4.5046;5.3117;5.4847;5.9518;6.5696;6.955;7.4219;7.5244;8.0557;8.4931;8.8214;9.0291;9.6335;10.9506;10.702;11.2956;11.4011;11.9776;11.5499;13.596;14.7085;14.9809;15.2244;15.7753;16.2402;17.2149;17.3069;17.752;18.3835;19.2076;19.8763;19.901;23.3506;25.4297;25.8325;27.6496;27.6363;28.816;28.9834;30.1979;32.1099;33.2807;33.4541;33.4403;33.7349;33.9989;36.8265;36.826;37.8229;37.9551
Bahamas; The;BHS;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);1.45;1.4413;1.4639;1.7257;1.7181;1.5017;1.537;1.3567;1.5065;1.5277;1.574;1.5466;1.3604;1.1197;0.8219;0.8064;0.7146;0.7482;0.8839;0.903;1.0575;1.0242;0.9345;0.8074;0.835;0.9;1.0458;1.17;1.1659;1.3391;1.1513;0.9134;0.9286;0.9987;0.7494;0.8188;0.8009;0.9967;1.2186;1.2618;1.0528;1.2;0.8106;0.9998;1.1242;1.1222;1.059;1.1655;1.2567;1.5268;1.6957;1.4411;1.3917
Bosnia and Herzegovina;BIH;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;11.5636;11.6004;11.395;12.4163;13.4484;13.7181;13.5742;14.3042;14.9889;15.4901;14.9246;16.5255;17.1079;18.1115;18.8694;19.8793;20.8208;19.2358;19.5789;19.916;24.5731;21.9919;16.2284;13.6202;3.3001;3.5146;4.3993;8.7232;11.0509;10.8922;14.2746;14.0888;14.8206;15.1824;16.0243;16.834;18.6779;19.7116;21.638;21.6417;22.1813;25.2298;23.2916;23.1979;20.7913;20.8241;23.4889;23.9665;24.0578;22.5912;22.5274;21.7872;21.8267
Belarus;BLR;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;54.982;55.7367;58.8875;62.8269;66.4906;72.2322;75.0111;76.7987;79.9764;82.3087;85.4566;85.0784;86.3325;87.3972;88.3821;89.6804;92.6293;95.6468;96.6755;97.4119;105.0452;101.261;91.6183;79.0703;67.3095;60.1175;61.0234;61.5138;60.0444;57.9578;55.8065;54.587;54.8028;55.425;58.7745;59.6009;62.0432;60.6952;64.4619;61.352;65.8561;62.6977;63.98;64.1533;63.6974;59.0118;58.9515;60.1134;63.4636;61.3005;58.0941;59.6435;57.4114
Belize;BLZ;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.0599;0.0599;0.0726;0.0733;0.0654;0.079;0.0717;0.0791;0.0791;0.0782;0.0774;0.0714;0.0628;0.0613;0.0728;0.0731;0.0943;0.0822;0.0647;0.0969;0.1193;0.138;0.1146;0.1124;0.1061;0.1205;0.1003;0.1714;0.1741;0.2059;0.1268;0.1317;0.1292;0.1373;0.1275;0.1395;0.1582;0.1557;0.1501;0.1823;0.216;0.1416;0.1595;0.2107;0.2011;0.2326;0.2428;0.2589;0.2438;0.2567;0.2198;0.2533;0.2694
Bermuda;BMU;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.1389;0.1388;0.1691;0.1706;0.152;0.184;0.1668;0.1842;0.1842;0.1822;0.1802;0.1536;0.1529;0.1577;0.1706;0.1665;0.1631;0.2484;0.2918;0.3628;0.2381;0.2171;0.1719;0.1929;0.186;0.1878;0.1918;0.1947;0.1994;0.1932;0.1379;0.1392;0.1523;0.1584;0.1622;0.1731;0.2108;0.2571;0.2584;0.2274;0.2889;0.1455;0.1746;0.2038;0.2685;0.2179;0.2915;0.2609;0.3088;0.3429;0.3164;0.3056;0.3175
Bolivia;BOL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;3.0184;3.7661;4.4902;4.1798;3.9796;4.5281;5.1172;4.9162;5.6035;4.986;4.9386;5.2935;5.5161;5.6804;5.1904;5.11;4.7607;4.9421;5.3523;6.1636;6.5729;6.8889;7.421;8.8769;9.5812;8.6585;8.3674;9.2241;8.7241;8.2887;8.1038;7.8133;8.3467;8.9081;9.3865;9.8783;10.709;11.9249;12.7492;13.5964;14.7076;16.0021;16.9694;18.024;19.309;19.8345;21.2787;21.648;21.851;21.8707;18.4606;21.8668;21.9595
Brazil;BRA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;104.6644;104.3077;113.558;132.198;142.6813;152.3365;167.3606;173.3696;187.336;199.8679;199.7241;185.3909;185.1318;176.3361;178.0928;187.1774;208.3349;213.2828;216.8695;219.6025;219.7507;225.9905;230.0882;240.4135;247.3896;268.1245;288.8459;308.4491;318.2112;327.4332;344.4557;347.6463;348.1145;343.7261;362.5668;365.166;370.2005;389.064;409.2582;382.7997;436.393;458.3598;495.2275;520.3719;545.1421;515.5152;480.8269;492.7353;468.764;468.014;447.6954;503.5387;466.7704
Barbados;BRB;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.2549;0.2547;0.3084;0.3049;0.2721;0.3279;0.3065;0.3352;0.345;0.3455;0.3451;0.3427;0.3283;0.3424;0.4102;0.4992;0.5355;0.5063;0.5173;0.5921;0.5584;0.5389;0.5213;0.4967;0.4749;0.489;0.4819;0.5709;0.6297;0.6367;0.5507;0.5376;0.5693;0.6025;0.6015;0.6128;0.6511;0.6329;0.744;0.7508;0.7739;0.65;0.6334;0.7487;0.6602;0.6859;0.7301;0.601;0.7016;0.7717;0.665;0.6515;0.6742
Brunei Darussalam;BRN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;2.0388;1.8855;2.2202;2.6046;2.5653;2.5645;2.8867;2.9181;3.0659;2.7292;3.3949;2.8324;3.0744;3.2624;3.0226;3.0322;3.0062;3.0642;3.2039;3.1829;3.3366;3.7015;3.8969;4.0611;4.3569;4.6918;4.9208;5.4805;4.6638;4.5854;4.8806;4.8684;4.783;5.6946;5.2602;5.1659;7.6891;7.29;8.034;7.9886;7.3281;7.5033;7.4678;7.3729;7.2036;6.5086;7.0525;7.4335;7.7185;7.4079;9.6089;9.8122;9.3757
Bhutan;BTN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.0351;0.0371;0.0403;0.0424;0.0432;0.0428;0.0446;0.0471;0.0497;0.0513;0.0518;0.0782;0.0778;0.079;0.0775;0.0825;0.0831;0.1288;0.1338;0.1355;0.1807;0.1846;0.1845;0.1876;0.2326;0.3086;0.3384;0.3902;0.4297;0.4999;0.4226;0.4538;0.4901;0.5052;0.5126;0.5563;0.5638;0.5772;0.6086;0.8317;0.9237;1.1199;1.0726;1.1232;1.1503;1.3363;1.4564;1.588;1.829;2.0024;1.5442;1.6971;1.7124
Botswana;BWA;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.1534;0.1535;0.197;0.2623;0.4532;0.5606;0.8178;0.9335;1.0545;1.2006;1.2678;1.3857;1.4459;1.4168;1.4118;1.5112;1.7381;1.8036;2.1641;2.3852;2.8226;2.7918;3.3972;3.3506;3.2124;3.3415;3.012;3.2156;3.8272;4.0329;4.0992;3.9553;4.1749;4.135;4.053;4.3903;4.2121;4.4352;4.5089;4.2549;3.4516;4.0725;3.5071;5.5101;7.134;7.0818;6.7479;7.4397;8.1978;7.337;6.0959;6.7439;8.2137
Central African Republic;CAF;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.0757;0.0757;0.0754;0.078;0.0839;0.087;0.0902;0.0932;0.0948;0.1088;0.107;0.1319;0.132;0.1541;0.1396;0.1393;0.1741;0.2234;0.2057;0.1901;0.1621;0.2163;0.1747;0.1895;0.1994;0.2028;0.2218;0.2217;0.2261;0.2303;0.2647;0.2763;0.2801;0.2638;0.2586;0.2542;0.2711;0.2707;0.2027;0.194;0.2012;0.2159;0.2212;0.1479;0.1621;0.2321;0.2423;0.2497;0.2618;0.2767;0.2808;0.2937;0.2761
Canada;CAN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;356.1474;363.924;383.0222;401.9666;410.0434;400.2011;413.3506;427.8591;431.0171;445.1813;450.4179;431.7619;413.7625;407.4124;426.7655;426.6365;416.5671;429.3037;460.3238;475.4549;440.4125;434.4693;447.18;446.5551;463.7967;475.8544;489.7701;505.5504;513.6076;523.2031;542.8688;534.1879;553.8815;573.4875;566.2641;576.4732;569.2062;601.4568;580.5967;547.2832;563.41;575.9768;573.5173;582.6315;588.8153;585.6989;584.0312;595.0612;606.8575;593.9794;544.9676;561.9908;582.0729
Central Europe and the Baltics;CEB;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;880.9231;892.4461;917.9157;959.1943;965.7163;1012.0833;1066.6367;1110.5645;1175.4147;1198.3435;1206.6069;1162.6259;1171.1094;1178.7629;1198.6868;1207.7521;1220.7272;1248.1011;1241.7075;1202.6549;1065.8981;974.5468;899.163;876.4004;854.5677;861.1677;887.1555;861.9865;808.2649;763.1773;758.5373;770.7855;753.9942;786.4191;784.4746;784.0645;805.8501;812.8089;792.9408;726.0137;755.0348;757.3824;730.2876;706.5046;688.3454;698.3776;708.9397;738.9411;735.157;696.9988;650.8665;705.3962;695.4051
Switzerland;CHE;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;41.4359;43.3911;44.0703;47.6751;42.861;40.4335;42.1723;42.6429;43.8135;42.505;43.2675;40.8952;38.6911;42.7832;42.2776;45.4747;45.3837;43.8081;43.7782;43.5837;44.7738;47.0869;47.0436;44.7287;43.7959;44.5828;45.1337;43.848;45.3088;45.5752;44.7702;46.1957;44.5718;45.8632;46.4063;47.04;46.6083;44.6274;45.9985;44.6352;46.3149;42.2793;43.5915;44.601;40.8946;40.2179;40.7745;39.7921;38.4872;38.3837;35.8595;36.5833;36.1052
Channel Islands;CHI;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;27.8814;30.3276;31.519;31.5175;29.5751;26.9504;27.5825;25.7977;26.2862;27.8683;27.6636;25.3623;21.5416;21.9832;23.2576;22.4443;22.724;22.941;27.7079;33.4428;33.0211;31.4684;32.6644;34.5737;37.7225;41.3417;47.5188;54.0929;54.574;57.1312;53.4448;51.3911;51.851;53.8111;58.1207;58.9068;60.0507;67.5111;71.0439;67.984;72.1342;78.7343;80.9035;85.0704;78.5616;84.1694;88.6142;89.4309;89.4784;94.8164;87.2109;98.0145;92.8587
Chile;CHL;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;910.0777;913.5209;974.0275;1013.7993;1031.3759;1182.7963;1230.8492;1383.7622;1559.6877;1597.6248;1563.4759;1549.33;1619.5443;1704.2764;1858.7337;1871.0643;1987.0027;2126.0014;2285.1861;2364.0776;2406.1795;2542.0739;2661.7055;2882.766;3039.5395;3360.563;3334.6306;3430.8384;3515.3846;3441.2085;3659.9498;3837.9909;4143.91;4785.0127;5515.0568;6258.4126;6944.3109;7547.621;7774.9554;8340.2013;9124.9114;9975.9314;10288.8595;10782.993;10909.7228;10768.9819;10786.0992;11026.1102;11553.536;11819.3583;12037.3161;12717.6553;12667.4284
China;CHN;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;2.6158;2.6676;2.9649;3.0499;3.1332;3.4029;3.8887;3.857;4.4631;4.1629;3.9603;3.6256;3.4474;4.0581;3.6171;3.315;3.4615;3.3776;3.4146;3.2794;2.9723;3.0651;3.0529;3.2392;3.3856;3.7038;4.6341;5.6409;5.466;7.2984;6.9681;6.9877;7.3893;5.8171;5.999;6.4008;6.2867;6.2411;6.9243;6.4171;7.3199;7.0827;9.0239;9.8042;10.4615;11.2685;11.4076;12.3351;12.3477;13.1948;13.2379;14.2089;14.4919
Cote d'Ivoire;CIV;Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e);EN.GHG.CO2.MT.CE.AR5;0.8711;0.9273;0.9673;1.01;0.9847;1.2483;1.1621;1.6237;1.7601;1.9155;2.0453;2.1868;2.3198;4.671;4.8889;4.7996;5.807;5.2818;3.3342;4.78;4.7713;4.5466;4.3729;4.7736;5.1615;5.1686;5.2996;5.3361;5.5546;5.3481;5.7404;5.7128;5.6309;5.7466;5.6469;5.4803;5.5244;6.5204;6.8528;7.4722;7.6105;7.2044;7.2937;8.0635;8.7522;9.0665;9.5853;9.7517;10.4153;10.1976;10.325;10.6774;10.0802
